"join_field","model_code","ref_label","ref_percent","bps_name","state_class_id","age_category","canopy_category","cur_scls_count","bps_count","bps_acres","ref_scls_acres","cur_scls_acres","cur_percent"
"13651_40_41_50_Water","13651_40_41_50","Water",0,"Boreal White Spruce-Fir-Hardwood Forest - Inland",NA,NA,NA,NA,1915290,425950,0,NA,NA
"13651_40_41_50_UN","13651_40_41_50","UN",0,"Boreal White Spruce-Fir-Hardwood Forest - Inland",NA,NA,NA,NA,1915290,425950,0,NA,NA
"13651_40_41_50_UE","13651_40_41_50","UE",0,"Boreal White Spruce-Fir-Hardwood Forest - Inland",NA,NA,NA,812,1915290,425950,0,181,0
"13651_51_A","13651_51","A",7,"Boreal White Spruce-Fir-Hardwood Forest - Inland","Early1:CLS","Early1","CLS",9081,1915290,425950,29816,2020,0
"13651_51_B","13651_51","B",22,"Boreal White Spruce-Fir-Hardwood Forest - Inland","Early2:CLS","Early2","CLS",76,1915290,425950,93709,17,0
"13651_51_C","13651_51","C",7,"Boreal White Spruce-Fir-Hardwood Forest - Inland","Mid1:CLS","Mid1","CLS",35155,1915290,425950,29816,7818,2
"13651_51_D","13651_51","D",64,"Boreal White Spruce-Fir-Hardwood Forest - Inland","Late1:CLS","Late1","CLS",1509267,1915290,425950,272608,335653,79
"13651_51_E","13651_51","E",NA,"Boreal White Spruce-Fir-Hardwood Forest - Inland",NA,NA,NA,NA,1915290,425950,NA,NA,NA
"13651_51_Agriculture","13651_51","Agriculture",0,"Boreal White Spruce-Fir-Hardwood Forest - Inland",NA,NA,NA,127605,1915290,425950,0,28379,7
"13651_51_Urban","13651_51","Urban",0,"Boreal White Spruce-Fir-Hardwood Forest - Inland",NA,NA,NA,146855,1915290,425950,0,32660,8
"13651_51_Water","13651_51","Water",0,"Boreal White Spruce-Fir-Hardwood Forest - Inland",NA,NA,NA,NA,1915290,425950,0,NA,NA
"13651_51_UN","13651_51","UN",0,"Boreal White Spruce-Fir-Hardwood Forest - Inland",NA,NA,NA,NA,1915290,425950,0,NA,NA
"13651_51_UE","13651_51","UE",0,"Boreal White Spruce-Fir-Hardwood Forest - Inland",NA,NA,NA,77896,1915290,425950,0,17324,4
"13652_51_A","13652_51","A",4,"Boreal White Spruce-Fir-Hardwood Forest - Coastal","Early1:CLS","Early1","CLS",4206,659857,146749,5870,935,1
"13652_51_B","13652_51","B",13,"Boreal White Spruce-Fir-Hardwood Forest - Coastal","Early2:CLS","Early2","CLS",46,659857,146749,19077,10,0
"13652_51_C","13652_51","C",4,"Boreal White Spruce-Fir-Hardwood Forest - Coastal","Mid1:CLS","Mid1","CLS",12369,659857,146749,5870,2751,2
"13652_51_D","13652_51","D",79,"Boreal White Spruce-Fir-Hardwood Forest - Coastal","Late1:CLS","Late1","CLS",495101,659857,146749,115931,110108,75
"13652_51_E","13652_51","E",NA,"Boreal White Spruce-Fir-Hardwood Forest - Coastal",NA,NA,NA,NA,659857,146749,NA,NA,NA
"13652_51_Agriculture","13652_51","Agriculture",0,"Boreal White Spruce-Fir-Hardwood Forest - Coastal",NA,NA,NA,60106,659857,146749,0,13367,9
"13652_51_Urban","13652_51","Urban",0,"Boreal White Spruce-Fir-Hardwood Forest - Coastal",NA,NA,NA,62231,659857,146749,0,13840,9
"13652_51_Water","13652_51","Water",0,"Boreal White Spruce-Fir-Hardwood Forest - Coastal",NA,NA,NA,NA,659857,146749,0,NA,NA
