"join_field","model_code","ref_label","ref_percent","scls_label","state_class_id","age_category","canopy_category","bps_model","bps_name","label","cur_scls_count","bps_count","bps_acres","ref_scls_acres","cur_scls_acres","cur_percent"
"13652_51_D","13652_51","D",79,"D","Late1:CLS","Late1","CLS","13652_51","Boreal White Spruce-Fir-Hardwood Forest-Coastal","D",495032,659115,146584,115801,110092,75
"13652_51_E","13652_51","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"13652_51_Agriculture","13652_51","Agriculture",0,NA,NA,NA,NA,"13652_51","Boreal White Spruce-Fir-Hardwood Forest-Coastal","Agriculture",60105,659115,146584,0,13367,9
"13652_51_Urban","13652_51","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13652_51_Water","13652_51","Water",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13652_51_UN","13652_51","UN",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13652_51_UE","13652_51","UE",0,NA,NA,NA,NA,"13652_51","Boreal White Spruce-Fir-Hardwood Forest-Coastal","UE",25652,659115,146584,0,5705,4
"13660_50_A","13660_50","A",3,"A","Early1:ALL","Early1","ALL","13660_50","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","A",32,1982196,440829,13225,7,0
"13660_50_B","13660_50","B",16,"B","Early2:CLS","Early2","CLS","13660_50","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","B",86,1982196,440829,70533,19,0
"13660_50_C","13660_50","C",39,"C","Mid1:CLS","Mid1","CLS","13660_50","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","C",41,1982196,440829,171924,9,0
"13660_50_D","13660_50","D",42,"D","Late1:CLS","Late1","CLS","13660_50","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","D",40806,1982196,440829,185148,9075,2
"13660_50_E","13660_50","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"13660_50_Agriculture","13660_50","Agriculture",0,NA,NA,NA,NA,"13660_50","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Agriculture",8128,1982196,440829,0,1808,0
"13660_50_Urban","13660_50","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
